,accel,accel,accel,gyro,gyro,gyro,mag,mag,mag,Q,Q,Q,Q
,x,y,z,x,y,z,x,y,z,w,x,y,z
time,,,,,,,,,,,,,
1773726884638,-0.59760743,2.8411777,9.208179,0.16859384,0.21868332,0.09529217,82.575005,43.275,-452.92502,,,,
1773726884643,-0.59282184,2.7789643,9.193823,0.14049487,0.19424942,0.08674031,83.175,44.025,-453.225,,,,
1773726884648,-0.56410795,2.7382865,9.282357,0.08063184,0.13560809,0.067193195,83.175,44.025,-453.225,,,,
1773726884653,-0.57846487,2.714358,9.337392,0.020768806,0.06230642,0.041537613,82.950005,42.45,-450.975,,,,
1773726884658,-0.590429,2.702394,9.421141,-0.03420745,-0.01343864,0.018325418,82.950005,42.45,-450.975,,,,
1773726884663,-0.6263213,2.78375,9.442677,-0.07452337,-0.07818845,0.002443389,82.05,43.425003,-453.37503,,,,
1773726884668,-0.6023931,2.7646074,9.387642,-0.10628742,-0.13072132,-0.009773556,82.05,43.425003,-453.37503,,,,
1773726884673,-0.6023931,2.7670002,9.327821,-0.10384403,-0.1331647,-0.008551862,81.675,43.5,-453.45,,,,
1773726884678,-0.5880362,2.7957141,9.299107,-0.0904054,-0.11361759,-0.0036650836,81.675,43.5,-453.45,,,,
1773726884683,-0.549751,2.8196423,9.277572,-0.06352811,-0.083075225,0.004886778,81.675,43.5,-453.45,,,,
1773726884688,-0.4660022,2.8172495,9.287143,-0.030542362,-0.0452027,0.017103724,81.675,43.5,-453.45,,,,
1773726884693,-0.39661035,2.8005,9.263215,0.0,-0.0061084726,0.02443389,83.775,42.975002,-450.825,,,,
1773726884698,-0.34636107,2.7670002,9.2488575,0.025655584,0.028098974,0.02687728,83.775,42.975002,-450.825,,,,
1773726884703,-0.30329028,2.7119653,9.2488575,0.042759307,0.05986303,0.02443389,82.875,41.775,-449.7,,,,
1773726884708,-0.29132617,2.6808586,9.268001,0.046424393,0.07207998,0.020768806,82.875,41.775,-449.7,,,,
1773726884713,-0.31764722,2.6688945,9.306286,0.041537613,0.0684149,0.01343864,83.175,42.675003,-451.42502,,,,
1773726884718,-0.31286156,2.6377878,9.332606,0.029320668,0.05619795,0.0036650836,83.175,42.675003,-451.42502,,,,
1773726884723,-0.34157544,2.611467,9.385248,0.01099525,0.035429142,-0.01099525,83.25,43.050003,-451.80002,,,,
1773726884728,-0.39900318,2.635395,9.428319,-0.017103724,-0.0036650836,-0.036650836,83.25,43.050003,-451.80002,,,,
1773726884733,-0.40378883,2.6473591,9.5048895,-0.02443389,-0.018325418,-0.04031592,83.55,42.525,-450.225,,,,
1773726884738,-0.44207397,2.6832514,9.483355,-0.03420745,-0.052532863,-0.061084725,83.55,42.525,-450.225,,,,
1773726884743,-0.4755735,2.7215366,9.476176,-0.03420745,-0.06230642,-0.067193195,82.950005,42.975002,-451.95,,,,
1773726884748,-0.54257256,2.714358,9.442677,-0.028098974,-0.057419643,-0.070858285,83.55,43.350002,-452.85,,,,
1773726884753,-0.5712864,2.7670002,9.387642,-0.014660334,-0.043981,-0.070858285,83.55,43.350002,-452.85,,,,
1773726884758,-0.59760743,2.7646074,9.387642,-0.0012216945,-0.023212196,-0.06963659,82.5,43.2,-451.80002,,,,
1773726884763,-0.6550352,2.7813573,9.406784,0.01099525,-0.0036650836,-0.0659715,82.5,43.2,-451.80002,,,,
1773726884768,-0.69092757,2.7813573,9.440284,0.028098974,0.017103724,-0.061084725,82.5,43.2,-452.40002,,,,
1773726884773,-0.71246296,2.7813573,9.478569,0.03787253,0.029320668,-0.058641337,82.5,43.2,-452.40002,,,,
1773726884778,-0.7579266,2.8005,9.512068,0.05131117,0.03298575,-0.05619795,82.5,43.2,-452.55002,,,,
1773726884783,-0.8033902,2.78375,9.516854,0.057419643,0.02687728,-0.057419643,82.5,43.2,-452.55002,,,,
1773726884788,-0.86081797,2.850749,9.526425,0.05986303,0.014660334,-0.058641337,83.025,42.975002,-452.92502,,,,
1773726884793,-0.85842514,2.8435707,9.502497,0.05986303,0.0,-0.061084725,83.025,42.975002,-452.92502,,,,
1773726884798,-0.87996054,2.9033911,9.430713,0.05619795,-0.01343864,-0.058641337,83.55,42.9,-452.02502,,,,
1773726884803,-0.8967103,2.972783,9.356535,0.050089475,-0.023212196,-0.057419643,83.55,42.9,-452.02502,,,,
1773726884808,-0.88235337,2.9751759,9.315857,0.046424393,-0.029320668,-0.05131117,83.4,42.675003,-451.50003,,,,
1773726884813,-0.8703892,3.0445678,9.279964,0.042759307,-0.03298575,-0.047646087,83.4,42.675003,-451.50003,,,,
1773726884818,-0.8679964,3.0708888,9.239286,0.042759307,-0.031764057,-0.041537613,83.25,42.675003,-452.7,,,,
